source,filename,language,urgency_count,cta_count,credential_count,body_length,subject_length,url_count,has_attachments,spf_pass,dkim_pass,dmarc_pass,label,confidence
private,Hai (1) messaggio da parte nostra.eml,en,0,2,0,32161,72,5,0,1,0,0,1,0.7000000000000001
private,Il tuo Set di Attrezzatura da Escursionismo Quechua ti aspetta!.eml,en,0,3,0,30138,75,3,0,1,0,0,1,0.7000000000000001
private,Questo è il tuo ultimo tentativo per reclamare la tua ricompensa.eml,en,0,0,0,13946,77,5,0,1,0,0,0,0.45000000000000007
private,Richiesta di feedback_ aiuta Lidl a migliorare.eml,en,0,0,0,134,46,0,0,1,1,0,0,0.1
private,Si prega di attendere di ricevere il kit antincendio.eml,en,0,0,0,12710,53,2,0,1,0,0,0,0.30000000000000004
private,Uma nova forma de cuidar da sua vitamina D com Addera.eml,pt,0,19,0,5742,53,19,0,1,1,1,0,0.4
private,𝐡𝐚𝐢 𝐯𝐢𝐧𝐭𝐨 𝐮𝐧𝐚 𝐟𝐫𝐢𝐠𝐠𝐢𝐭𝐫𝐢𝐜𝐞 𝐚𝐝 𝐚𝐫𝐢𝐚 𝐒𝐢𝐥𝐯𝐞𝐫𝐜𝐫𝐞𝐬𝐭🎁 ID#115851.eml,en,0,0,0,139,68,0,0,1,1,0,0,0.1
private,𝐡𝐚𝐢 𝐯𝐢𝐧𝐭𝐨 𝐮𝐧𝐚 𝐟𝐫𝐢𝐠𝐠𝐢𝐭𝐫𝐢𝐜𝐞 𝐚𝐝 𝐚𝐫𝐢𝐚 𝐒𝐢𝐥𝐯𝐞𝐫𝐜𝐫𝐞𝐬𝐭🎁 ID#116433.eml,en,0,0,0,139,68,0,0,1,1,0,0,0.1
private,𝐡𝐚𝐢 𝐯𝐢𝐧𝐭𝐨 𝐮𝐧𝐚 𝐟𝐫𝐢𝐠𝐠𝐢𝐭𝐫𝐢𝐜𝐞 𝐚𝐝 𝐚𝐫𝐢𝐚 𝐒𝐢𝐥𝐯𝐞𝐫𝐜𝐫𝐞𝐬𝐭🎁 ID#119506.eml,en,0,0,0,139,68,0,0,1,1,1,0,0.0
synthetic,synthetic_phishing_2479442807888.eml,it,1,1,2,218,40,1,1,0,0,0,1,0.7686855009433555
synthetic,synthetic_legitimate_2479442778576.eml,it,0,0,0,174,24,0,1,0,1,1,0,0.3815772759084807
